72,3,80
72,4,68
72,5,69
72,6,78
72,7,50
72,8,70
72,9,107
73,0,60
73,1,43
73,2,79
73,3,46
73,4,70
73,5,51
73,6,31
73,7,67
73,8,39
73,9,65
74,0,36
74,1,35
74,2,111
74,3,63
74,4,124
74,5,93
74,6,65
74,7,30
74,8,58
74,9,59
75,0,114
75,1,44
75,2,67
75,3,54
75,4,50
75,5,50
75,6,99
75,7,43
75,8,81
75,9,71
76,0,103
76,1,65
76,2,74
76,3,51
76,4,39
76,5,69
76,6,59
76,7,69
76,8,76
76,9,84
77,0,22
77,1,84
77,2,60
77,3,31
77,4,151
77,5,71
77,6,40
77,7,57
77,8,71
77,9,88
78,0,58
78,1,30
78,2,36
78,3,148
78,4,46
78,5,32
78,6,66
78,7,68
78,8,96
78,9,129
79,0,67
79,1,43
79,2,35
79,3,82
79,4,85
79,5,126
79,6,77
79,7,38
79,8,44
79,9,118
80,0,22
80,1,26
80,2,164
80,3,106
80,4,61
80,5,70
80,6,66
80,7,147
80,8,52
80,9,123
81,0,70
81,1,57
81,2,87
81,3,130
81,4,82
81,5,94
81,6,69
81,7,91
81,8,86
81,9,85
82,0,97
82,1,76
82,2,34
82,3,84
82,4,101
82,5,106
82,6,58
82,7,67
82,8,63
82,9,49
83,0,200
83,1,65
83,2,73
83,3,100
83,4,79
83,5,52
83,6,62
83,7,126
83,8,104
83,9,60
84,0,82
84,1,57
84,2,79
84,3,107
84,4,52
84,5,20
84,6,137
84,7,126
84,8,118
84,9,29
85,0,40
85,1,103
85,2,126
85,3,118
85,4,139
85,5,45
85,6,37
85,7,62
85,8,69
85,9,117
86,0,84
86,1,91
86,2,26
86,3,113
86,4,107
86,5,88
86,6,134
86,7,71
86,8,79
86,9,107
87,0,50
87,1,80
87,2,157
87,3,115
87,4,106
87,5,76
87,6,83
87,7,98
87,8,136
87,9,66
88,0,127
88,1,50
88,2,51
88,3,183
88,4,33
88,5,117
88,6,77
88,7,85
88,8,63
88,9,83
89,0,80
89,1,97
89,2,107
89,3,137
89,4,159
89,5,47
89,6,25
89,7,72
89,8,143
89,9,19
90,0,101
90,1,149
90,2,140
90,3,117
90,4,87
90,5,180
90,6,158
90,7,13
90,8,89
90,9,118
91,0,49
91,1,114
91,2,158
91,3,19
91,4,29
91,5,128
91,6,86
91,7,93
91,8,154
91,9,178
92,0,34
92,1,75
92,2,144
92,3,113
92,4,137
92,5,200
92,6,119
92,7,200
92,8,122
92,9,181
93,0,106
93,1,95
93,2,96
93,3,112
93,4,56
93,5,105
93,6,71
93,7,168
93,8,179
93,9,135
94,0,86
94,1,99
94,2,156
94,3,30
94,4,105
94,5,122
94,6,124
94,7,200
94,8,29
94,9,193
95,0,162
95,1,111
95,2,200
95,3,126
95,4,190
95,5,111
95,6,87
95,7,173
95,8,143
95,9,132
96,0,129
96,1,133
96,2,71
96,3,200
96,4,200
96,5,200
96,6,73
96,7,192
96,8,129
96,9,43
97,0,116
97,1,151
97,2,184
97,3,121
97,4,121
97,5,85
97,6,52
97,7,162
97,8,114
97,9,148
98,0,172
98,1,200
